"2009.11.21","2009.12.01","2009.12.06","2009.12.13","2009.12.17","2009.12.22","2009.12.25","2009.12.27","2009.12.29","2010.01.01","2010.01.04","2010.01.06","2010.01.09","2010.01.13","2010.01.17","2010.01.22","2010.01.30","2010.02.03","2010.02.13","2010.02.22","2010.02.28","2010.03.08","2010.03.13","2010.03.25","2010.04.09","2010.04.15","2010.04.28","2010.05.14","2010.05.25","2010.06.21","2010.06.29","2010.07.15","2010.08.13","2010.08.24","2010.09.14","2010.09.26","2010.10.12","2010.10.24"
"1398.5436","1398.523","1398.518","1398.5131","1398.5041","1398.5","1398.499","1398.505","1398.507","1398.5078","1398.5048","1398.5048","1398.5025","1398.5065","1398.5015","1398.5025","1398.505","1398.4995","1398.5035","1398.5018","1398.4945","1398.494","1398.501","1398.4975","1398.5015","1398.5037","1398.5013","1398.4969","1398.5007","1398.5059","1398.5096","1398.5075","1398.5054","1398.5099","1398.5075","1398.5074","1398.5466",1398.5457
"1398.5358","1398.5205","1398.5095","1398.5002","1398.4898","1398.486","1398.4872","1398.4925","1398.4935","1398.4939","1398.4916","1398.4913","1398.4896","1398.4928","1398.4888","1398.489","1398.491","1398.486","1398.4903","1398.4899","1398.4803","1398.4815","1398.4866","1398.4845","1398.4858","1398.4881","1398.4861","1398.4817","1398.4855","1398.492","1398.4942","1398.4924","1398.4900","1398.4942","1398.4917","1398.4899","1398.5304",1398.5293
"1398.538","1398.538","1398.511","1398.4952","1398.4821","1398.4803","1398.4813","1398.4873","1398.4873","1398.4878","1398.4863","1398.4865","1398.486","1398.486","1398.4865","1398.4838","1398.484","1398.4825","1398.4875","1398.4875","1398.4745","1398.4805","1398.4815","1398.4775","1398.484","1398.4844","1398.4825","1398.4789","1398.4822","1398.4915","1398.4926","1398.4929","1398.4870","1398.4926","1398.4896","1398.4860","1398.5296",1398.5302
"1398.5505","1398.556","1398.526","1398.5072","1398.4939","1398.4925","1398.4933","1398.4973","1398.499","1398.4996","1398.498","1398.4988","1398.4968","1398.497","1398.4985","1398.4965","1398.4943","1398.4958","1398.5003","1398.4998","1398.487","1398.4943","1398.493","1398.4895","1398.4955","1398.4963","1398.4921","1398.4893","1398.4919","1398.5032","1398.5035","1398.5046","1398.4982","1398.5034","1398.5005","1398.4949","1398.5395",1398.5368
"1398.5466","1398.5525","1398.522","1398.5029","1398.4839","1398.4869","1398.4888","1398.4923","1398.4933","1398.4935","1398.492","1398.4928","1398.4923","1398.4918","1398.4935","1398.491","1398.489","1398.4903","1398.4953","1398.4943","1398.481","1398.4883","1398.4868","1398.4818","1398.4885","1398.4895","1398.4998","1398.497","1398.4992","1398.496","1398.4962","1398.4978","1398.4910","1398.4967","1398.4928","1398.5021","1398.5465",1398.5435
"1398.5366","1398.5355","1398.5085","1398.4963","1398.4798","1398.4766","1398.4781","1398.4825","1398.4833","1398.4841","1398.4828","1398.4825","1398.4813","1398.4835","1398.4828","1398.4808","1398.4795","1398.4798","1398.4853","1398.4846","1398.47","1398.4765","1398.4763","1398.4718","1398.4775","1398.4801","1398.487","1398.4847","1398.487","1398.4866","1398.4871","1398.4878","1398.4809","1398.4882","1398.4837","1398.4913","1398.5349",1398.5318
"1398.5368","1398.5155","1398.5065","1398.4963","1398.4845","1398.4806","1398.4822","1398.4888","1398.488","1398.4886","1398.4869","1398.4856","1398.4854","1398.488","1398.483","1398.4845","1398.4853","1398.481","1398.4865","1398.4846","1398.4738","1398.474","1398.4796","1398.4775","1398.478","1398.4831","1398.4907","1398.4873","1398.4903","1398.4866","1398.4887","1398.4876","1398.4841","1398.4896","1398.4860","1398.4956","1398.5357",1398.5347
"1398.5426","1398.5195","1398.5165","1398.5108","1398.5012","1398.4974","1398.498","1398.5048","1398.5043","1398.5046","1398.5034","1398.5011","1398.5011","1398.5053","1398.4988","1398.5","1398.5025","1398.4975","1398.5018","1398.4996","1398.4905","1398.4895","1398.4966","1398.4943","1398.495","1398.4989","1398.5061","1398.5029","1398.5078","1398.5029","1398.5047","1398.5028","1398.4995","1398.5058","1398.5042","1398.5117","1398.5513",1398.5505
