2010.09.14,2010.10.13,2010.10.29
1394.2326, 1394.2342,1394.2336
1394.5000, 1394.4947,1394.4945
1394.4524, 1394.4480,1394.4487
1394.4566, 1394.4530,1394.4533
1394.6857, 1394.6836,1394.6838
1394.3045, 1394.3058,1394.3061
1394.2776, 1394.2790,1394.2790
1394.1989, 1394.2002,1394.2000
